t_mono_s,v_bus,i,p
# start 2026-09-25T19:46:02 mono=606.1 interval=10.0 threshold=9.6 count=3
11906.5,11.439,-0.364,-4.17
11916.5,11.438,-0.364,-4.17
11926.5,11.436,-0.368,-4.21
11936.5,11.435,-0.368,-4.20
11946.5,11.436,-0.365,-4.18
11956.5,11.434,-0.367,-4.20
11966.5,11.434,-0.364,-4.16
11976.5,11.433,-0.367,-4.20
11986.5,11.431,-0.371,-4.24
11996.5,11.431,-0.368,-4.21
12006.5,11.431,-0.369,-4.22
12016.5,11.430,-0.369,-4.22
12026.5,11.429,-0.370,-4.23
12036.5,11.427,-0.371,-4.23
12046.5,11.427,-0.370,-4.23
12056.5,11.425,-0.370,-4.23
12066.5,11.425,-0.370,-4.23
12076.5,11.424,-0.369,-4.22
12086.5,11.423,-0.370,-4.23
12096.5,11.422,-0.369,-4.21
12106.5,11.421,-0.372,-4.25
12116.5,11.421,-0.369,-4.22
12126.5,11.420,-0.372,-4.25
12136.5,11.419,-0.374,-4.28
12146.5,11.419,-0.369,-4.21
12156.5,11.417,-0.369,-4.21
12166.5,11.416,-0.369,-4.21
12176.5,11.415,-0.373,-4.25
12186.5,11.414,-0.370,-4.23
12196.5,11.415,-0.375,-4.28
12206.5,11.413,-0.369,-4.22
12216.5,11.413,-0.373,-4.26
12226.5,11.409,-0.389,-4.44
12236.5,11.406,-0.392,-4.47
12246.5,11.406,-0.393,-4.49
12256.5,11.404,-0.392,-4.46
12266.5,11.402,-0.390,-4.45
12276.5,11.403,-0.390,-4.45
12286.5,11.400,-0.392,-4.47
12296.5,11.400,-0.393,-4.48
12306.5,11.399,-0.390,-4.44
12316.5,11.399,-0.389,-4.44
12326.5,11.398,-0.390,-4.44
12336.5,11.396,-0.393,-4.48
12346.5,11.396,-0.392,-4.46
12356.5,11.394,-0.392,-4.47
12366.5,11.394,-0.394,-4.48
12376.5,11.393,-0.395,-4.50
12386.5,11.392,-0.391,-4.45
12396.5,11.390,-0.390,-4.44
12406.5,11.390,-0.392,-4.46
12416.5,11.389,-0.392,-4.47
12426.5,11.388,-0.393,-4.47
12436.5,11.387,-0.394,-4.48
12446.5,11.386,-0.392,-4.46
12456.5,11.384,-0.393,-4.47
12466.5,11.384,-0.391,-4.45
12476.5,11.383,-0.393,-4.48
12486.5,11.383,-0.391,-4.45
12496.5,11.381,-0.392,-4.46
12506.5,11.381,-0.392,-4.46
12516.5,11.379,-0.393,-4.47
12526.5,11.379,-0.394,-4.48
12536.5,11.379,-0.392,-4.46
12546.5,11.377,-0.391,-4.45
12556.5,11.376,-0.391,-4.45
12566.5,11.375,-0.391,-4.45
12576.5,11.375,-0.392,-4.46
12586.5,11.374,-0.392,-4.46
12596.5,11.373,-0.393,-4.46
12606.5,11.372,-0.390,-4.44
12616.5,11.370,-0.393,-4.46
12626.5,11.370,-0.392,-4.46
12636.5,11.368,-0.390,-4.43
12646.5,11.367,-0.393,-4.47
12656.5,11.366,-0.392,-4.45
12666.5,11.365,-0.393,-4.47
12676.5,11.364,-0.392,-4.46
12686.5,11.363,-0.391,-4.44
12696.5,11.363,-0.391,-4.44
12706.5,11.362,-0.394,-4.48
12716.5,11.361,-0.393,-4.46
12726.5,11.361,-0.391,-4.44
12736.5,11.359,-0.394,-4.48
12746.5,11.358,-0.396,-4.50
12756.5,11.357,-0.393,-4.47
12766.5,11.356,-0.396,-4.50
12776.5,11.356,-0.394,-4.48
12786.5,11.355,-0.395,-4.48
12796.5,11.353,-0.394,-4.47
12806.5,11.352,-0.394,-4.47
12816.5,11.352,-0.390,-4.42
12826.5,11.364,-0.328,-3.73
12836.5,11.355,-0.374,-4.24
12846.5,11.354,-0.375,-4.26
12856.5,11.352,-0.376,-4.27
12866.5,11.352,-0.377,-4.28
12876.5,11.351,-0.377,-4.28
12886.5,11.350,-0.375,-4.25
12896.5,11.349,-0.374,-4.24
12906.5,11.348,-0.375,-4.25
12916.5,11.346,-0.373,-4.23
12926.5,11.346,-0.375,-4.25
12936.5,11.345,-0.375,-4.26
12946.5,11.345,-0.374,-4.25
12956.5,11.343,-0.377,-4.27
12966.5,11.342,-0.375,-4.25
12976.5,11.341,-0.375,-4.25
12986.5,11.340,-0.377,-4.28
12996.5,11.340,-0.377,-4.28
13006.5,11.338,-0.375,-4.25
13016.5,11.338,-0.378,-4.29
13026.5,11.336,-0.377,-4.28
13036.5,11.337,-0.375,-4.25
13046.5,11.335,-0.376,-4.26
13056.5,11.334,-0.375,-4.25
13066.5,11.334,-0.376,-4.26
13076.5,11.333,-0.374,-4.24
13086.5,11.331,-0.375,-4.25
13096.5,11.331,-0.376,-4.25
13106.5,11.330,-0.376,-4.26
13116.5,11.328,-0.375,-4.25
13126.5,11.328,-0.375,-4.24
13136.5,11.326,-0.375,-4.25
13146.5,11.325,-0.376,-4.25
